OBJECTID,Precinct,VoteByMail,BallotGroup,SerialNumber,VBMVoters,PollVoters,Shape__Area,Shape__Length
36975,5150063B,1,530,7069,259,38,2242782.51855469,7747.70298120095
36976,3500010B,1,541,6757,6,2,60729509.0292969,35290.8762802837
36977,3150032A,0,541,434,2520,747,30017608.2578125,36926.2733081329
36978,3750046I,1,541,6818,0,0,3238139.62207031,13341.3532141655
36979,3150037A,0,541,435,2854,842,46533850.7636719,31950.8262046264
36980,3150018A,0,541,433,2838,856,78606885.6279297,42647.5886181702
36981,0050011A,1,541,6010,1,1,1118113756.05273,144529.329575952
36982,3150001T,1,541,6683,0,0,11976552.2636719,15894.0346931684
36983,3150013A,1,541,6687,964,292,16349982.5146484,19236.8554167087
36984,0200053A,1,541,6071,0,0,3606144.91210938,9407.75996897749
36985,3200206A,1,541,6699,0,0,1745595.53710938,5291.05481808092
36986,3200071C,1,541,6698,0,0,13096151.4414063,15202.2892566639
36987,3500016A,1,541,6761,8,8,970738566.439453,154283.105741645
36988,3200071A,1,541,6697,0,0,40231798.1171875,31606.2220383828
36989,0200031A,1,541,6068,4,3,770445275.482422,132094.328242022
36990,3150008A,1,541,6686,1339,416,39645014.65625,34621.4445173054
36991,3750046G,1,541,6816,0,0,38029462.3603516,28436.8332957026
36992,0200052A,1,541,6070,0,0,6850920.38867188,10471.8887828039
36993,7900003A,1,377,7562,0,0,603948983.624023,107188.608388162
36994,0300013B,1,377,6082,0,0,446388.357421875,2683.55408139147
36995,7680029A,1,938,7490,0,0,88505.75390625,4358.16510242326
36996,6700057A,0,786,955,1628,757,11709677.2324219,17168.3295984595
36997,6700003A,0,786,947,2194,982,14745642.6992188,18101.8372105341
36998,6700005A,0,786,948,1811,755,10493494.9589844,15885.8648979477
36999,2600049A,1,558,6564,552,241,4366137.74609375,13248.6769802255
37000,0800006A,0,822,92,1996,887,12118612.8447266,18058.7182963921
37001,0800002A,0,822,90,1508,801,8422980.86328125,14071.0432926061
37002,0800015A,1,822,6158,1,0,52783.0595703125,1185.38493200375
37003,0800016A,0,822,95,1906,953,10643195.6494141,20215.4191317643
37004,0800005A,0,822,91,1641,803,9591227.19238281,13223.1220109888
37005,0800009A,0,822,94,1705,930,12120010.1083984,21055.0218285547
37006,0800007A,0,822,93,1643,851,10140434.5917969,14691.81111549
37007,9001199B,0,199,1359,1919,656,33892872.3798828,36974.026154227
37008,9001422A,0,199,1389,1752,678,2630885.73242188,7670.41448703892
37009,9003302B,1,199,7776,0,0,130437.489257813,1452.86156658725
37010,9001200A,1,199,7629,1434,484,30874148.1669922,31357.0673615772
37011,9001421A,0,199,1388,1867,724,2274330.94628906,7618.48938655374
37012,5250020A,1,173,7125,0,0,223132.399414063,2216.99364173902
37013,5960001A,1,837,7229,0,0,1583815456.19922,289648.893592184
37014,1770015S,1,316,6362,63,19,3531295.69140625,7950.05765630732
37015,5000045C,1,316,7015,0,1,11994342.6269531,16528.3719175939
37016,2950069D,1,859,6658,0,0,715654.672851563,4793.75333161915
37017,5000050A,1,346,7017,1208,423,28589810.8115234,23724.6397801262
37018,5000079A,1,346,7028,747,275,29203368.4140625,24142.6449191972
37019,1770008B,1,370,6347,0,0,11885267.1962891,18241.756550254
37020,9003357A,1,457,7785,83,28,849115.568359375,6086.63201091307
37021,9001522A,0,457,1414,2184,640,7392869.74121094,11961.5865509479
37022,9002891A,0,457,1640,1925,622,4675296.09863281,10417.599683121
37023,9000002B,0,457,1085,2065,615,8374164.20605469,11735.5527104224
37024,9001550A,1,457,7661,1231,359,2405013.08105469,6961.68904666605
37025,9001532A,0,457,1416,2499,849,7583053.00683594,11925.4572097736
37026,2950030A,1,853,6652,293,110,874061.521484375,4433.4337319727
37027,2950001A,0,853,413,1013,534,5697767.48632813,10957.2507505744
37028,2950016A,1,853,6643,595,365,3495341.00976563,7944.17767193938
37029,2950029A,1,853,6651,989,473,3516870.72558594,10548.7127124614
37030,2950004A,0,853,414,964,524,19440623.7333984,22427.6769493615
37031,2950009A,0,853,415,1537,861,10511427.1347656,13229.7342575824
37032,2950015A,1,853,6642,464,223,2166881.34472656,8242.20409205654
37033,2950070A,1,853,6659,412,197,1352026.9140625,4780.30915587516
37034,2950018A,0,853,417,1175,615,6931253.4296875,12888.7651909615
37035,2950152A,0,853,432,1258,740,6963303.23632813,13099.8702170391
37036,0090009A,1,6,6050,0,0,40967864.859375,33616.3323837549
37037,1900015F,1,62,6427,81,31,377069.37890625,3982.29487349103
37038,1960014A,1,911,6448,0,0,1015734.42285156,4172.7680028753
37039,9002057A,1,299,7692,284,179,41706601.0751953,39764.2881954019
37040,9000277B,1,299,7579,1,0,87432.494140625,1352.51181848301
37041,9002238C,1,197,7701,0,0,44919.1103515625,1533.56008442705
37042,5000087A,1,317,7030,4,3,51582835.6005859,32685.6547156406
37043,2950142A,1,845,6666,40,15,170715.361328125,1969.14021705922
37044,3430001A,0,481,464,1497,641,11633449.9501953,15522.4629004388
37045,3430020A,0,481,466,1155,503,7058639.87890625,12675.1580166777
37046,3430007A,0,481,465,1310,540,8392560.828125,13596.2161678836
37047,9002877C,1,226,7745,0,0,14079.0107421875,524.074001430498
37048,0750051A,0,733,87,1663,676,7757691.51367188,11118.6770155157
37049,0750058A,1,733,6156,556,222,3238798.09960938,10640.1416969666
37050,1960012A,1,895,6447,0,0,2511280.25195313,8089.24986536653
37051,2930002A,1,643,6610,0,0,45475.482421875,858.712126667485
37052,2930003A,1,643,6611,2,0,11105454.4404297,24062.1798742615
37053,4500004A,1,564,6930,702,279,3949982.16796875,16781.906514721
37054,1040005B,1,386,6212,0,0,6459965.63476563,12849.8347001027
37055,1040251A,1,386,6230,992,395,172003998.148438,91969.4967745031
37056,1040002B,0,386,161,1115,515,182554874.529297,91429.7813042785
37057,9005177A,1,22,7825,29,18,186978.918945313,2046.26118205496
37058,9004552A,1,22,7824,2,0,6564880.60449219,12321.2409023848
37059,0800010A,1,821,6157,270,89,3162764.27734375,10550.4818538705
37060,1150012A,1,779,6252,934,344,54324742.4658203,48586.1472152767
37061,9002119A,0,622,1533,1611,703,8418474.17382813,11530.7545159936
37062,9000483A,0,622,1217,1440,668,6958187.00683594,13856.6329704641
37063,9000688A,0,622,1264,1675,735,8724679.92285156,13219.4682164426
37064,9002222A,0,622,1553,2297,868,8275221.25585938,12698.5350483758
37065,9000261A,0,622,1157,1707,523,6692199.79394531,12673.5922844937
37066,9000619A,0,622,1251,2476,851,11212408.0908203,13959.5410081435
37067,9001833A,0,622,1478,2321,705,6134268.03320313,14616.4345235814
37068,9000256A,1,622,7577,347,135,1630169.54296875,5110.72751981208
37069,9000428A,0,622,1210,2359,782,19266854.7207031,18695.2409780464
